49,57,40,32,48,49,33,48,56,48,32,40,33,49,33,33,32,56,56,33,56,32,49,56,40,56,32,32,49,49
32,57,57,41,56,56,56,33,40,56,40,40,40,32,32,33,40,33,49,57,40,41,41,56,49,32,57,49,56,56
32,56,57,56,41,57,49,49,49,57,41,49,48,40,41,48,41,41,33,56,33,32,40,33,40,48,56,41,40,57
33,56,33,40,41,49,49,56,32,41,33,49,41,33,48,32,56,32,33,56,41,40,40,48,49,56,41,48,57,41
33,33,40,32,33,56,49,33,41,57,49,32,56,33,41,40,32,32,41,48,56,49,49,56,49,33,33,49,48,57
48,41,32,48,48,49,33,33,32,40,40,48,40,41,40,48,41,41,41,41,32,48,33,41,48,49,56,48,33,57
33,49,33,32,41,56,32,32,49,57,40,41,48,49,40,57,40,40,33,32,40,32,48,57,48,57,32,48,56,41
48,41,57,48,48,33,32,41,48,57,57,57,40,48,56,56,33,32,49,56,33,56,32,41,48,32,49,56,48,57
56,33,48,32,56,40,57,41,48,32,48,56,48,40,41,57,48,32,32,49,32,33,49,48,33,56,41,33,32,40
40,48,56,33,48,33,41,32,33,33,33,41,40,32,56,56,33,41,32,40,48,40,49,49,48,41,48,40,32,56
32,48,41,40,40,48,56,48,48,41,24,0,15,22,29,11,6,3,30,9,11,24,3,5,18,9,7,5,16,26
41,57,33,33,49,32,48,56,57,41,24,15,15,19,13,9,1,15,9,25,25,25,8,25,8,9,31,10,31,30
48,32,49,40,57,41,48,57,41,40,3,2,30,0,18,27,12,8,19,29,27,10,4,7,28,21,1,22,8,3
56,33,33,49,32,57,48,33,57,57,15,6,27,8,19,17,30,20,5,11,27,24,5,27,18,11,16,28,24,4
57,48,49,41,48,40,56,32,57,32,8,0,27,18,0,23,8,20,11,15,7,13,19,1,26,23,22,31,27,9
56,40,49,40,32,56,40,49,49,41,24,17,22,10,27,5,23,28,8,0,24,17,0,20,21,7,2,20,11,19
56,57,32,41,57,32,33,48,33,57,27,4,3,31,20,24,28,30,19,2,22,17,19,13,18,6,2,8,7,13
56,49,40,40,56,33,49,33,49,33,25,16,25,9,0,28,31,18,2,25,4,7,14,15,28,21,30,14,13,13
32,48,33,57,56,56,41,49,41,32,10,12,18,3,24,30,5,30,26,14,18,19,27,4,29,20,23,10,22,16
40,40,56,48,32,48,48,41,32,49,11,24,19,19,4,2,12,1,26,2,31,3,14,3,7,8,1,30,9,30
4,3,10,9,13,2,18,27,11,26,28,23,30,8,30,28,3,8,13,16,2,25,21,4,9,25,28,11,9,0
29,0,23,7,6,23,25,5,6,18,18,6,22,28,30,30,18,13,7,11,11,6,20,26,18,17,31,16,2,15
26,9,12,4,30,17,25,3,22,1,24,8,10,30,28,12,11,3,17,17,12,5,7,28,19,5,3,18,18,31
23,30,6,27,8,16,14,19,16,17,8,16,14,13,10,5,20,13,6,14,10,4,25,29,29,9,24,29,31,12
22,21,28,26,1,1,15,0,0,13,8,1,0,28,1,5,25,21,9,5,4,29,19,9,22,18,6,9,0,31
23,16,8,13,13,8,6,6,9,15,4,8,26,19,27,18,29,28,25,3,25,31,20,25,16,9,21,4,9,4
29,4,19,24,8,6,19,17,13,4,16,10,16,1,10,12,24,19,16,12,9,16,0,22,14,18,5,25,21,8
18,22,7,6,2,27,19,7,31,21,2,12,16,20,30,7,16,22,18,18,27,16,0,5,17,31,21,3,12,28
30,13,16,29,10,28,16,24,29,28,1,15,19,23,29,23,6,31,18,0,21,4,10,18,10,4,24,2,19,28
28,5,31,3,25,27,23,21,28,7,17,4,8,11,19,16,0,22,24,8,28,31,18,14,16,22,9,31,1,27
